pct,hit,found,file
0.60,2,332,lib/core/router.dart
0.64,2,312,lib/features/settings/presentation/screens/settings_screen.dart
0.65,1,153,lib/features/settings/presentation/screens/chat_settings_screen.dart
0.70,3,431,lib/presentation/screens/safety_screen.dart
0.71,1,140,lib/features/auth/presentation/screens/terms_conditions_screen.dart
0.71,1,140,lib/features/settings/presentation/screens/language_region_settings_screen.dart
0.73,1,137,lib/features/about/presentation/screens/pricing_screen.dart
0.73,1,137,lib/features/auth/presentation/screens/email_verification_screen.dart
0.77,1,130,lib/features/analytics/data/models/profile_insights.dart
0.79,1,127,lib/features/settings/presentation/screens/account_security_settings_screen.dart
0.82,3,368,lib/features/settings/presentation/screens/account_actions_settings_screen.dart
0.93,1,108,lib/dev/widget_catalog/showcases/spacing_showcase.dart
0.97,1,103,lib/features/auth/presentation/screens/change_email_screen.dart
0.98,1,102,lib/features/auth/presentation/screens/new_device_screen.dart
0.99,1,101,lib/dev/widget_catalog/showcases/layout_showcase.dart
1.01,1,99,lib/design_system/widgets/glass_bottom_nav_bar.dart
1.03,1,97,lib/features/social/presentation/bloc/date_ideas_cubit.dart
1.03,2,194,lib/features/settings/presentation/screens/support_screen.dart
1.05,2,190,lib/features/settings/presentation/screens/privacy_settings_screen.dart
1.11,1,90,lib/dev/widget_catalog/showcases/cards_showcase.dart
1.14,3,263,lib/features/settings/presentation/screens/appearance_settings_screen.dart
1.19,1,84,lib/features/settings/presentation/screens/notifications_settings_screen.dart
1.19,1,84,lib/features/social/presentation/bloc/compatibility_quiz_cubit.dart
1.32,1,76,lib/design_system/widgets/glass_chip.dart
1.48,2,135,lib/features/auth/presentation/screens/auth_gateway_screen.dart
1.52,1,66,lib/features/analytics/presentation/bloc/profile_insights_cubit.dart
1.57,2,127,lib/features/auth/presentation/screens/phone_auth_screen.dart
1.74,2,115,lib/design_system/widgets/crush_avatar.dart
1.75,1,57,lib/data/models/profile_reaction.dart
2.00,1,50,lib/dev/widget_catalog/showcases/buttons_showcase.dart
2.00,1,50,lib/features/auth/presentation/screens/logout_screen.dart
2.08,2,96,lib/features/settings/presentation/screens/data_storage_settings_screen.dart
2.17,1,46,lib/dev/widget_catalog/showcases/badges_showcase.dart
2.44,2,82,lib/dev/widget_catalog/widget_catalog_screen.dart
2.50,1,40,lib/features/chat/data/services/ice_breaker_service.dart
2.70,1,37,lib/dev/widget_catalog/showcases/states_showcase.dart
3.12,7,224,lib/core/services/analytics_service.dart
3.33,1,30,lib/dev/widget_catalog/showcases/inputs_showcase.dart
3.39,2,59,lib/core/services/haptic_service.dart
3.57,1,28,lib/presentation/screens/home_screen.dart
3.68,6,163,lib/features/social/data/models/compatibility_quiz.dart
3.81,4,105,lib/dev/widget_catalog/widget_showcase.dart
3.85,1,26,lib/presentation/widgets/onboarding_progress.dart
3.92,4,102,lib/core/services/location_service.dart
4.00,1,25,lib/features/chat/presentation/bloc/message_requests_state.dart
4.08,2,49,lib/shared/widgets/cached_image.dart
4.42,8,181,lib/shared/widgets/cached_network_image.dart
4.55,1,22,lib/data/models/message_request.dart
4.55,3,66,lib/features/about/presentation/screens/product_features_screen.dart
4.88,4,82,lib/design_system/widgets/glass_skeleton.dart
5.26,2,38,lib/config/support_config.dart
